LAD11CD,residential_sale_2001_la,residential__sale_2011_la,newlybuilt_sale_2001_la,newlybuilt_sale_2011_la,newlybuilt_sale_2001_la_pct,newlybuilt_sale_2011_la_pct
E08000034,8600,4103,733,473,0.085232558,0.115281501
E08000035,15928,7856,1285,841,0.08067554,0.107051935
E08000036,6677,2865,1123,321,0.168189307,0.112041885
E08000037,3516,1948,348,217,0.098976109,0.111396304
E09000001,373,256,96,26,0.257372654,0.1015625
E09000002,3227,1463,262,246,0.08118996,0.168147642
E09000003,6919,3949,565,361,0.081659199,0.091415548
E09000004,5300,2554,222,42,0.041886792,0.016444792
E09000005,4838,2219,81,118,0.016742456,0.053177107
E09000006,7601,4363,306,183,0.040257861,0.041943617
E09000007,3707,2650,68,148,0.018343674,0.055849057
E09000008,6992,3515,277,189,0.039616705,0.053769559
E09000009,6158,3035,153,116,0.024845729,0.038220758
E09000010,7154,2734,552,46,0.077159631,0.016825165
E09000011,4839,2570,899,422,0.185782186,0.164202335
E09000012,3399,2247,534,330,0.157105031,0.146862483
E09000013,3692,2718,1,193,0.000270856,0.071008094
E09000014,4591,2305,76,33,0.016554128,0.014316703
E09000015,4349,2168,205,141,0.047137273,0.0650369
E09000016,4692,2593,334,67,0.071184996,0.025838797
E09000017,4710,3370,155,455,0.032908705,0.135014837
E09000018,4515,2319,253,177,0.056035437,0.076326003
E09000019,3348,2624,423,276,0.126344086,0.105182927
E09000020,4072,2497,101,20,0.024803536,0.008009612
E09000021,3969,2249,198,74,0.049886621,0.032903513
E09000022,5990,3612,608,222,0.101502504,0.061461794
E09000023,5636,2880,102,210,0.018097942,0.072916667
E09000024,4694,2620,151,171,0.032168726,0.065267176
E09000025,5529,1615,770,167,0.13926569,0.103405573
E09000026,5780,2539,367,80,0.06349481,0.031508468
E09000027,4748,3147,155,75,0.032645324,0.023832221
E09000028,5268,3205,632,399,0.119969628,0.12449298
E09000029,4867,2445,119,182,0.02445038,0.074437628
E09000030,5002,3369,1442,1006,0.288284686,0.298604927
E09000031,5334,2330,114,78,0.021372328,0.033476395
E09000032,8205,5274,458,271,0.055819622,0.051384149
E09000033,5897,3299,625,89,0.105986095,0.026977872
W06000001,1273,727,80,33,0.062843676,0.045392022
W06000002,2463,1293,105,24,0.042630938,0.018561485
W06000003,2746,1396,199,117,0.072469046,0.083810888
W06000004,2173,1010,116,80,0.053382421,0.079207921
W06000005,3013,1365,235,170,0.077995353,0.124542125
