MSOA01CD,tenure_all_2001,owned_2001,rented_2001,owned_2001_pct,rented_2001_pct
E02003823,2986,2368,537,0.793034159,0.17983925
E02003824,2087,1668,369,0.799233349,0.176808816
E02003825,2409,2215,151,0.919468659,0.062681611
E02003826,2903,1811,983,0.62383741,0.338615226
E02003827,3530,2060,1322,0.583569405,0.374504249
E02003828,2471,1300,1076,0.526102792,0.435451234
E02003829,2428,2128,249,0.876441516,0.102553542
E02003830,2885,1893,877,0.656152513,0.303986135
E02003831,3200,2813,298,0.8790625,0.093125
E02003832,2381,1691,622,0.710205796,0.261234775
E02003833,2620,2044,507,0.780152672,0.19351145
E02003834,2393,1552,746,0.648558295,0.311742583
E02003835,3120,3019,74,0.967628205,0.023717949
E02003836,3067,2261,707,0.737202478,0.230518422
E02003837,3222,2695,390,0.836436996,0.121042831
E02003838,2675,2418,185,0.903925234,0.069158879
E02003839,2590,1842,660,0.711196911,0.254826255
E02003840,3807,2894,699,0.760178618,0.183609141
E02003841,3082,2139,831,0.694029851,0.26963011
E02003842,2284,2025,189,0.886602452,0.082749562
E02003843,2486,1774,632,0.713596138,0.254223652
E02003844,2909,2522,322,0.866964593,0.110690959
E02003845,3336,1612,1596,0.483213429,0.478417266
E02003846,2958,1402,1448,0.473968898,0.489519946
E02003847,3720,3550,118,0.954301075,0.03172043
E02003848,2214,1337,827,0.603884372,0.373532069
E02003849,2857,1126,1604,0.394119706,0.561428071
E02003850,2245,1817,371,0.80935412,0.165256125
E02003851,2338,2201,93,0.941402908,0.039777588
E02003852,2738,2633,66,0.96165084,0.024105186
E02003853,2374,2082,231,0.877000842,0.097304128
E02003854,2631,2202,380,0.836944128,0.144431775
E02003855,2675,2516,120,0.940560748,0.044859813
E02003856,4458,2884,1432,0.646926873,0.321220278
E02003857,2644,2009,560,0.759833585,0.211800303
E02003858,2737,2283,390,0.834124954,0.142491779
E02003859,4326,3266,822,0.754969949,0.19001387
E02003860,2843,2587,207,0.909954274,0.072810412
E02003861,2808,1868,829,0.665242165,0.29522792
E02003862,2023,1794,175,0.88680178,0.08650519
E02003863,2840,2337,422,0.822887324,0.148591549
E02003864,3227,2687,441,0.832661915,0.136659436
E02003865,3143,2439,618,0.776010181,0.196627426
E02003866,2236,2068,133,0.924865832,0.059481216
E02003867,2838,2273,499,0.800916138,0.175828048
E02003868,3600,2378,1102,0.660555556,0.306111111
E02003869,2934,2534,327,0.863667348,0.111451943
E02003870,4562,3317,1092,0.72709338,0.239368698
E02003871,2950,1900,944,0.644067797,0.32
E02003872,3863,3185,523,0.824488739,0.135387005
E02003873,2446,1271,1026,0.519623876,0.419460343
E02003874,3812,3095,573,0.811909759,0.150314795
E02003875,2565,2204,278,0.859259259,0.108382066
E02003876,2280,1806,414,0.792105263,0.181578947
E02003877,3630,3153,366,0.868595041,0.100826446
E02003878,3191,2704,416,0.847383265,0.130366656
E02003879,2358,1603,651,0.679813401,0.276081425
E02003880,2737,1957,696,0.715016441,0.254293022
E02003881,2565,1825,631,0.711500975,0.246003899
E02003882,3774,2440,1174,0.646528882,0.311075782
E02003883,3419,3119,218,0.912255045,0.063761334
E02003884,3017,2605,315,0.863440504,0.104408353
E02003885,2376,1989,313,0.837121212,0.131734007
E02003886,2241,1480,688,0.660419456,0.307005801
E02003887,2264,1858,353,0.820671378,0.155918728
E02003888,2483,1622,760,0.653242046,0.306081353
E02003889,2163,1077,952,0.497919556,0.44012945
E02003890,2354,1748,553,0.742565845,0.234919286
E02003891,2361,1854,374,0.785260483,0.158407454
E02003965,4362,3133,1071,0.71824851,0.245529574
E02003966,2795,2280,362,0.815742397,0.129516995
E02003967,3341,2375,802,0.71086501,0.24004789
E02003968,3531,2618,812,0.741433022,0.229963183
E02003969,2825,1355,1380,0.479646018,0.488495575
E02003970,3075,2278,695,0.740813008,0.22601626
E02003971,3272,2574,573,0.786674817,0.175122249
E02003972,3925,2810,992,0.715923567,0.252738854
E02003973,3757,1955,1639,0.520361991,0.436252329
E02003974,3308,1991,1197,0.601874244,0.36185006
E02003975,2543,2115,373,0.831694849,0.146677153
E02003976,3047,1996,823,0.655070561,0.270101739
E02003977,2620,2312,248,0.882442748,0.094656489
E02003978,2564,2097,391,0.817862715,0.1524961
E02003979,3361,3202,91,0.952692651,0.027075275
E02003980,3120,1664,1298,0.533333333,0.416025641
E02003981,2991,2621,293,0.876295553,0.097960548
E02003982,2814,2308,446,0.82018479,0.158493248
E02003983,3417,2195,1078,0.642376354,0.315481416
E02003984,3413,2148,1130,0.629358336,0.33108702
E02003985,3128,2439,613,0.779731458,0.195971867
E02003986,3096,2278,725,0.735788114,0.234173127
E02003987,2396,1707,544,0.712437396,0.227045075
E02003988,2723,1793,769,0.658464928,0.282409108
E02003989,3151,2680,391,0.850523643,0.124087591
E02003990,3536,3005,373,0.849830317,0.105486425
