LAD11NM,all_households_2001_la,no_children_2001_la,dependent_children_2001_la,nondependent_children_2001_la,no_children_2001_la_pct,dependent_children_2001_la_pct,nondependent_children_2001_la_pct
North East Lincolnshire,66054,11744,19577,5792,0.177793926,0.29637872,0.087685833
North Lincolnshire,64014,13046,18611,5912,0.203799169,0.290733277,0.092354797
York,76920,15200,21151,6486,0.197607904,0.274973999,0.084321373
Craven,22680,4743,6276,1952,0.209126984,0.276719577,0.086067019
Hambleton,34688,7766,10205,3151,0.223881458,0.294193958,0.09083833
Harrogate,63077,13346,18702,5169,0.211582669,0.29649476,0.081947461
Richmondshire,18127,4128,5728,1558,0.227726596,0.315992718,0.085949137
Ryedale,21451,4821,5657,1962,0.224744767,0.263717309,0.091464267
Scarborough,46726,8869,11645,3845,0.189808672,0.24921885,0.082288234
Selby,30836,7023,9883,3081,0.227753275,0.320502011,0.099915683
Barnsley,92165,17464,26900,9845,0.189486247,0.291867846,0.106819291
Doncaster,118699,22128,34748,12004,0.186421116,0.292740461,0.101129748
Rotherham,102279,19473,30594,10767,0.190390989,0.299122987,0.105270877
Sheffield,217622,38215,58572,20205,0.17560265,0.269145583,0.092844473
Bradford,180246,29091,54637,16930,0.161396092,0.303124619,0.093927188
Calderdale,80937,15256,23415,7108,0.188492284,0.289299084,0.087821392
Kirklees,159031,29022,47193,14607,0.182492722,0.296753463,0.091850017
Leeds,301614,51373,84839,26363,0.170326974,0.281283362,0.08740642
Wakefield,132212,25825,39343,13274,0.195330227,0.297575107,0.100399359
Derby,92405,15647,26710,8084,0.169330664,0.289053623,0.087484443
Leicester,111148,14463,32872,9599,0.130123799,0.295749811,0.086362328
Nottingham,116112,15662,29786,8393,0.134887006,0.25652818,0.072283657
Rutland,13457,3073,3992,1114,0.228356989,0.296648584,0.082782195
Amber Valley,49129,10238,14254,5177,0.208390157,0.290134137,0.105375644
Bolsover,30246,6246,8632,3141,0.206506646,0.28539311,0.103848443
Chesterfield,43462,8159,11979,4136,0.18772721,0.275620082,0.095163591
Derbyshire Dales,29059,6103,7783,2894,0.210020992,0.267834406,0.099590488
Erewash,46224,9467,13786,4634,0.204807027,0.298243337,0.100250952
High Peak,37059,7508,11361,3745,0.202595861,0.306565207,0.101055074
North East Derbyshire,40692,8464,11378,4713,0.208001573,0.2796127,0.115821292
South Derbyshire,32994,7405,10519,3333,0.224434746,0.318815542,0.101018367
Blaby,35908,7932,11274,3805,0.22089785,0.313969032,0.105965245
Charnwood,60472,11862,18222,5770,0.196156899,0.301329541,0.09541606
Harborough,30850,7125,9796,2894,0.23095624,0.317536467,0.093808752
Hinckley and Bosworth,41085,8927,12228,4523,0.217281246,0.297626871,0.11008884
Melton,19615,4440,5808,1954,0.22635738,0.296099924,0.09961764
North West Leicestershire,35394,7661,10471,3823,0.216449116,0.295841103,0.108012658
Oadby and Wigston,21922,4023,6536,2165,0.183514278,0.298147979,0.098759237
Boston,23989,5090,6176,2153,0.212180583,0.257451332,0.089749469
East Lindsey,55533,12347,13635,4414,0.222336269,0.245529685,0.079484271
Lincoln,36643,6570,10310,2785,0.179297547,0.281363425,0.076003602
North Kesteven,38870,8960,11466,3130,0.230511963,0.294983278,0.080524826
South Holland,32752,7370,8407,2850,0.225024426,0.256686615,0.087017587
South Kesteven,51494,11026,15725,4484,0.214122034,0.305375384,0.087078106
West Lindsey,32872,7242,9424,2992,0.220309078,0.286687759,0.091019713
Corby,22013,3748,6785,2193,0.170263026,0.308226957,0.09962295
Daventry,28747,6861,9450,2451,0.238668383,0.328729954,0.085261071
East Northamptonshire,31244,6982,9749,2675,0.223466906,0.312027909,0.085616438
Kettering,34442,7150,10359,2960,0.207595378,0.300766506,0.085941583
Northampton,80822,15236,24703,6847,0.188513029,0.305646977,0.084717032
South Northamptonshire,31716,7408,10432,3042,0.23357296,0.328919158,0.095913734
Wellingborough,30084,5842,8977,2907,0.194189602,0.298397819,0.096629438
Ashfield,46600,9598,13790,5052,0.205965665,0.295922747,0.108412017
Bassetlaw,44690,9412,13047,4291,0.2106064,0.291944507,0.096017006
Broxtowe,45445,9356,13022,4351,0.205875234,0.286544174,0.095742106
