MSOA11CD,residents_all_2011,migrants_2011,migrants_2011_pct
E02003800,6273,350,0.055794676
E02003801,7019,467,0.066533694
E02003802,8051,1691,0.21003602
E02003803,8909,2367,0.265686385
E02003804,6773,878,0.129632364
E02003805,6195,382,0.061662631
E02003806,5942,424,0.071356446
E02003807,8181,686,0.08385283
E02003808,6419,425,0.06620969
E02003809,7496,495,0.066035219
E02003810,7973,396,0.049667628
E02003841,7636,566,0.074122577
E02003842,5332,275,0.051575394
E02003843,5852,379,0.064764183
E02003844,6772,383,0.056556409
E02003845,8128,957,0.117741142
E02003846,6781,440,0.064887185
E02003847,9625,450,0.046753247
E02003848,5113,401,0.078427538
E02003849,6855,529,0.077169949
E02003850,5351,261,0.04877593
E02003851,5891,273,0.046341877
E02003852,6870,351,0.051091703
E02003874,9077,460,0.050677537
E02003875,6414,353,0.055035859
E02003876,5614,263,0.046847168
E02003877,9214,509,0.055242023
E02003878,8009,512,0.063928081
E02003879,6270,658,0.104944179
E02003880,6391,328,0.051322172
E02003881,6069,573,0.094414236
E02003882,9513,624,0.06559445
E02003883,9893,656,0.066309512
E02003884,7897,471,0.059642902
E02003885,5646,360,0.063761955
E02003886,6647,443,0.066646607
E02003887,6137,358,0.058334691
E02003888,6124,443,0.072338341
E02003889,5643,384,0.06804891
E02003890,5930,423,0.071332209
E02003891,5655,287,0.050751547
E02002574,7137,422,0.059128485
E02002575,9666,512,0.05296917
E02002576,7369,455,0.061745149
E02002577,7495,431,0.057505003
E02002578,7725,406,0.052556634
E02002579,7805,450,0.057655349
E02002580,7512,655,0.087193823
E02002581,7353,420,0.057119543
E02002582,8192,518,0.063232422
E02002583,6851,381,0.055612319
E02002584,7460,430,0.057640751
E02002585,10492,955,0.091021731
E02002586,9816,653,0.066524042
E02002587,6925,475,0.068592058
E02002588,7500,424,0.056533333
E02002589,6448,283,0.043889578
E02002590,7215,804,0.111434511
E02002591,6435,391,0.060761461
E02002592,6348,383,0.060333963
E02002593,5236,301,0.057486631
