MSOA01CD,NS-SeC_all_2001,NS-SeC_higher_2001,NS-SeC_higher_2001_pct
E02002596,6833,1981,0.289916581
E02002597,6146,808,0.131467621
E02002598,4196,1947,0.464013346
E02002599,6430,2555,0.397356143
E02002600,6603,1170,0.177192185
E02002601,5881,1404,0.238734909
E02002602,4511,838,0.185768122
E02002603,5804,1735,0.298931771
E02002604,5881,1990,0.338377827
E02002605,6485,1664,0.256592136
E02002606,5844,1252,0.214236824
E02002607,5833,1184,0.202983028
E02002608,6624,1854,0.279891304
E02002609,5323,815,0.153109149
E02002610,7723,3359,0.434934611
E02002611,5564,2032,0.365204889
E02002612,6611,2544,0.38481319
E02002613,4416,1863,0.421875
E02002614,4370,2138,0.489244851
E02003794,6279,2003,0.318999841
E02003795,4090,1343,0.328361858
E02003796,5200,1311,0.252115385
E02003797,6445,2471,0.383397983
E02003798,4342,700,0.161216029
E02003799,5074,793,0.156286953
E02003800,4535,1703,0.375523705
E02003801,5064,1613,0.318522907
E02003802,4590,1624,0.353812636
E02003803,5787,1697,0.293243477
E02003804,5039,1885,0.374082159
E02003805,4594,1815,0.39508054
E02003806,4217,1563,0.370642637
E02003807,6188,2434,0.393341952
E02003808,4498,1205,0.267896843
E02003809,5185,1808,0.348698168
E02003810,5662,1840,0.324973508
E02003811,4149,1623,0.391178597
E02003812,4106,1713,0.41719435
E02003813,4603,1400,0.304149468
E02003814,4888,1564,0.319967267
E02003815,4788,1046,0.218462824
E02003816,4778,1399,0.292800335
E02003817,4969,1650,0.332058764
E02003818,4369,1694,0.387731746
E02003819,4267,1457,0.341457699
E02003820,4575,1714,0.374644809
E02003821,4007,1170,0.291989019
E02003822,7849,2408,0.306790674
E02003823,5137,1565,0.304652521
E02003824,4222,1341,0.31762198
E02003825,4535,1463,0.322601985
E02003826,4819,679,0.140900602
E02003827,5552,700,0.126080692
E02003828,4288,588,0.137126866
E02003829,4504,853,0.189387211
E02003830,4632,856,0.184801382
E02003831,6071,1904,0.313622138
E02003832,4043,759,0.187731882
E02003833,4635,1002,0.21618123
E02003834,4164,875,0.210134486
E02003835,5813,2086,0.358850852
E02003836,4719,1289,0.273151091
E02003837,6300,2195,0.348412698
E02003838,4649,1374,0.29554743
E02003839,4189,1139,0.271902602
E02003840,6959,2229,0.320304641
E02003841,5159,1579,0.306067067
E02003842,4111,1631,0.396740452
E02003843,4426,836,0.188883868
E02003844,5168,1571,0.303986068
E02003845,5144,753,0.146384137
E02003846,4738,649,0.136977628
E02003847,7279,2559,0.35155928
E02003848,3915,607,0.1550447
E02003849,4584,557,0.121509599
E02003850,4287,878,0.204805225
E02003851,4616,1285,0.278379549
E02003852,5446,1537,0.282225487
E02003853,4243,1601,0.377327363
E02003854,4655,1785,0.383458647
E02003855,4947,1943,0.392763291
