MSOA01CD,qualification_all_2001,qualification_2001,qualification_2001_pct
E02002596,6833,1271,0.186009074
E02002597,6146,380,0.061828832
E02002598,4196,1178,0.280743565
E02002599,6430,1606,0.249766719
E02002600,6603,703,0.106466758
E02002601,5881,847,0.144023125
E02002602,4511,486,0.107736644
E02002603,5804,987,0.170055134
E02002604,5881,1257,0.21373916
E02002605,6485,902,0.139090208
E02002606,5844,773,0.132272416
E02002607,5833,755,0.129435968
E02002608,6624,1141,0.172252415
E02002609,5323,468,0.087920346
E02002610,7723,2638,0.341577107
E02002611,5564,1434,0.257728253
E02002612,6611,1959,0.296324308
E02002613,4416,1435,0.32495471
E02002614,4370,1763,0.403432494
E02003794,6279,1450,0.230928492
E02003795,4090,986,0.241075795
E02003796,5200,1088,0.209230769
E02003797,6445,2241,0.347711404
E02003798,4342,426,0.098111469
E02003799,5074,483,0.095191171
E02003800,4535,1415,0.312017641
E02003801,5064,1272,0.251184834
E02003802,4590,1641,0.35751634
E02003803,5787,1748,0.302056333
E02003804,5039,1838,0.364754912
E02003805,4594,1734,0.377448846
E02003806,4217,1237,0.293336495
E02003807,6188,2461,0.397705236
E02003808,4498,850,0.188972877
E02003809,5185,1516,0.292381871
E02003810,5662,1453,0.256623101
E02003811,4149,1295,0.312123403
E02003812,4106,1310,0.3190453
E02003813,4603,837,0.181837932
E02003814,4888,862,0.176350245
E02003815,4788,688,0.143692565
E02003816,4778,922,0.192967769
E02003817,4969,1123,0.226001207
E02003818,4369,1220,0.279240101
E02003819,4267,1060,0.248418092
E02003820,4575,1167,0.255081967
E02003821,4007,850,0.212128775
E02003822,7849,1610,0.205121672
E02003823,5137,1316,0.25618065
E02003824,4222,1194,0.282804358
E02003825,4535,762,0.168026461
E02003826,4819,430,0.089230131
E02003827,5552,446,0.080331412
E02003828,4288,357,0.083255597
E02003829,4504,569,0.126332149
E02003830,4632,559,0.120682211
E02003831,6071,1377,0.226816011
E02003832,4043,613,0.151620084
E02003833,4635,647,0.139590076
E02003834,4164,575,0.138088377
E02003835,5813,1523,0.261998968
E02003836,4719,1138,0.241152787
E02003837,6300,1704,0.27047619
E02003838,4649,978,0.210367821
E02003839,4189,923,0.220338983
E02003840,6959,1869,0.268573071
